"","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"num_critic_for_reviews",1,0.228631294162374,0.175127708824892,0.252782288152233,0.165986357757917,0.464187034004562,0.592472726279154,0.236532582593462,-0.0343646750181309,0.563684369199151,0.104716621168955,0.420202470399105,0.253125241471934,0.34788563860428,0.180230040189966,0.705225555524539
"duration",0.228631294162374,1,0.180644428863912,0.125797055825738,0.08363226077714,0.245726197770596,0.339592450378326,0.120179424232055,0.0269192371400867,0.351594957680444,0.0680122925438853,-0.130210869181978,0.128934675533716,0.36622101735708,0.153026728219594,0.215303275575543
"director_facebook_likes",0.175127708824892,0.180644428863912,1,0.117404537845039,0.089629814385056,0.138350589980813,0.299624160761455,0.118547031231278,-0.048066542816488,0.217102606100986,0.0181669080984408,-0.0446556197612233,0.116058445319752,0.192313548642752,0.0375279378311162,0.161962405936304
"actor_3_facebook_likes",0.252782288152233,0.125797055825738,0.117404537845039,1,0.252407514475633,0.299863816330008,0.267761872055407,0.489795412087952,0.106189314456215,0.205343041109942,0.0399663981118068,0.117475443064324,0.553755240898687,0.0655436116814747,0.0463558527258817,0.271507927203364
"actor_1_facebook_likes",0.165986357757917,0.08363226077714,0.089629814385056,0.252407514475633,1,0.144009570365335,0.179590159431598,0.944813128901724,0.0573865397231077,0.121935339774364,0.0164183742376678,0.0961944326571063,0.391166466446946,0.0935971797263299,0.0569456643340386,0.130300302406535
"gross",0.464187034004562,0.245726197770596,0.138350589980813,0.299863816330008,0.144009570365335,1,0.624948745456555,0.235600525333009,-0.0320245050971756,0.544673830198518,0.099496423270246,0.0548079529893005,0.252841926476879,0.214739712176022,0.0639458549781204,0.366932660506793
"num_voted_users",0.592472726279154,0.339592450378326,0.299624160761455,0.267761872055407,0.179590159431598,0.624948745456555,1,0.249119045849692,-0.0322094979293992,0.778881290473827,0.0659267073480552,0.0236871190682301,0.244822381610808,0.482429606479369,0.084626346213281,0.517750704823668
"cast_total_facebook_likes",0.236532582593462,0.120179424232055,0.118547031231278,0.489795412087952,0.944813128901724,0.235600525333009,0.249119045849692,1,0.0806871555285895,0.178674770645353,0.0286815167682251,0.127044740286006,0.642991433167422,0.106802526648564,0.0689519232270975,0.205564035668849
"facenumber_in_poster",-0.0343646750181309,0.0269192371400867,-0.048066542816488,0.106189314456215,0.0573865397231077,-0.0320245050971756,-0.0322094979293992,0.0806871555285895,1,-0.0809712332952525,-0.0216731256301562,0.0700930468992577,0.073097938445648,-0.0654926113211543,0.0189877954210694,0.0151849776682624
"num_user_for_reviews",0.563684369199151,0.351594957680444,0.217102606100986,0.205343041109942,0.121935339774364,0.544673830198518,0.778881290473827,0.178674770645353,-0.0809712332952525,1,0.0703719192010323,0.0194696390768535,0.187015899408517,0.325002592495895,0.098109138332576,0.370465378468117
"budget",0.104716621168955,0.0680122925438853,0.0181669080984408,0.0399663981118068,0.0164183742376678,0.099496423270246,0.0659267073480552,0.0286815167682251,-0.0216731256301562,0.0703719192010323,1,0.047138407719754,0.0357150182868688,0.0291897224546424,0.0252644631930419,0.0524901226089022
"title_year",0.420202470399105,-0.130210869181978,-0.0446556197612233,0.117475443064324,0.0961944326571063,0.0548079529893005,0.0236871190682301,0.127044740286006,0.0700930468992577,0.0194696390768535,0.047138407719754,1,0.122409942197022,-0.13498183027686,0.216613876055963,0.306987442948033
"actor_2_facebook_likes",0.253125241471934,0.128934675533716,0.116058445319752,0.553755240898687,0.391166466446946,0.252841926476879,0.244822381610808,0.642991433167422,0.073097938445648,0.187015899408517,0.0357150182868688,0.122409942197022,1,0.102372039041358,0.0639510237096682,0.232768756291229
"imdb_score",0.34788563860428,0.36622101735708,0.192313548642752,0.0655436116814747,0.0935971797263299,0.214739712176022,0.482429606479369,0.106802526648564,-0.0654926113211543,0.325002592495895,0.0291897224546424,-0.13498183027686,0.102372039041358,1,0.0299793324261145,0.281154991471714
"aspect_ratio",0.180230040189966,0.153026728219594,0.0375279378311162,0.0463558527258817,0.0569456643340386,0.0639458549781204,0.084626346213281,0.0689519232270975,0.0189877954210694,0.098109138332576,0.0252644631930419,0.216613876055963,0.0639510237096682,0.0299793324261145,1,0.110118129865412
"movie_facebook_likes",0.705225555524539,0.215303275575543,0.161962405936304,0.271507927203364,0.130300302406535,0.366932660506793,0.517750704823668,0.205564035668849,0.0151849776682624,0.370465378468117,0.0524901226089022,0.306987442948033,0.232768756291229,0.281154991471714,0.110118129865412,1
